course_id,course_title,career_field,difficulty_level,duration_weeks,credit_units,description
CRS-101,"Frontend Fundamentals: HTML5, CSS3 & Responsive Design",Web & Full-Stack Development,Beginner,4,3,"Master the core building blocks of modern web pages, semantic HTML5, CSS flexbox, grid, and mobile-first layouts."
CRS-102,Modern JavaScript (ES6+) & TypeScript Core,Web & Full-Stack Development,Beginner,6,3,"Comprehensive grounding in asynchronous JS, DOM manipulation, promises, closures, and static typing with TypeScript."
CRS-103,Full-Stack Web Development with React & Next.js,Web & Full-Stack Development,Intermediate,8,4,"Build high-performance web applications with server-side rendering, component-driven design, and API routes."
CRS-104,Backend API Engineering with Node.js & Express,Web & Full-Stack Development,Intermediate,6,3,"Design secure, scalable RESTful microservices, authentication middleware, and robust API endpoints with Node.js."
CRS-105,Relational & NoSQL Database Systems (PostgreSQL & MongoDB),Web & Full-Stack Development,Intermediate,5,3,"Database schema modeling, ACID transactions, complex indexing, query optimization, and document storage patterns."
CRS-106,"Web Security, OAuth2 & Penetration Defense",Web & Full-Stack Development,Advanced,5,3,"Defend against OWASP Top 10 vulnerabilities, implement JWT/OAuth2 flows, CSRF protection, and zero-trust headers."
CRS-107,Distributed Systems & Event-Driven Microservices Architecture,Web & Full-Stack Development,Advanced,8,4,"Architect scalable event-driven systems using message brokers (Kafka/RabbitMQ), gRPC, and resilient caching patterns."
CRS-108,Python for Data Science & Scientific Computing,Data Science & Artificial Intelligence,Beginner,5,3,"Fundamental Python programming with NumPy, Pandas, vectorization, and data manipulation techniques."
CRS-109,"Applied Statistics, Probability & Exploratory Data Analysis",Data Science & Artificial Intelligence,Intermediate,6,3,"Hypothesis testing, Bayesian reasoning, distribution fitting, feature engineering, and statistical storytelling."
CRS-110,Machine Learning Algorithms & Predictive Modeling,Data Science & Artificial Intelligence,Intermediate,8,4,"Supervised and unsupervised learning, regression, ensemble methods (XGBoost), cross-validation, and hyperparameter tuning."
CRS-111,Deep Learning Architectures with PyTorch & TensorFlow,Data Science & Artificial Intelligence,Advanced,8,4,"Train and optimize convolutional networks, recurrent models, attention mechanisms, and custom autograd models."
