job_id,job_title,company,sector,location,domain,experience_level,required_skills,preferred_skills,tools_technologies,salary_range,job_description,responsibilities,qualifications
JOB-2001,Big Data Developer,PulseHealth Technologies,HealthTech,Remote,Data Engineering & Big Data,Mid-Level,"Git, Python, ETL, Relational Databases, MinIO, Communication","Apache Kafka, BigQuery, Docker","MinIO, Docker","$110,000 - $145,000","PulseHealth Technologies is seeking a motivated Big Data Developer to join our HealthTech engineering team in Remote. In this role, you will collaborate on designing, developing, and deploying mission-critical solutions in Data Engineering & Big Data. Key responsibilities include writing robust, maintainable code, actively participating in code reviews, optimizing system performance, and working in an agile environment. Required technical proficiencies: Git, Python, ETL, Relational Databases, MinIO, Communication. Preferred qualifications and bonus skills: Apache Kafka, BigQuery, Docker. Key tools and environments: MinIO, Docker.","1. Design, test, and implement features aligned with Data Engineering & Big Data architecture standards.
2. Utilize tools such as MinIO, Docker for continuous integration, monitoring, and quality assurance.
3. Partner with senior engineers and product managers to translate product specifications into production-grade systems.
4. Troubleshoot and debug complex technical bottlenecks and ensure data security best practices.","- Bachelor's or Master's in Computer Science, Data Science, Software Engineering, or related technical field.
- Demonstrated hands-on competence with Git, Python, ETL, Relational Databases.
- Strong grasp of Problem Solving, Critical Thinking, Agile & Scrum in a collaborative sprint framework.
- Familiarity with Apache Kafka, BigQuery, Docker is a strong plus."
JOB-2002,Junior Data Analyst,NeuralByte AI,Artificial Intelligence,"New York, NY",Business Intelligence & Analytics,Junior,"Exploratory Data Analysis, Data Visualization, Tableau, Statistics, Excel & Spreadsheets, Power BI Service, HubSpot, Technical Writing","DAX, Cohort Analysis, Metabase, Tableau Desktop","Power BI Service, HubSpot, Metabase, Tableau Desktop","$85,000 - $115,000","NeuralByte AI is seeking a motivated Junior Data Analyst to join our Artificial Intelligence engineering team in New York, NY. In this role, you will collaborate on designing, developing, and deploying mission-critical solutions in Business Intelligence & Analytics. Key responsibilities include writing robust, maintainable code, actively participating in code reviews, optimizing system performance, and working in an agile environment. Required technical proficiencies: Exploratory Data Analysis, Data Visualization, Tableau, Statistics, Excel & Spreadsheets, Power BI Service, HubSpot, Technical Writing. Preferred qualifications and bonus skills: DAX, Cohort Analysis, Metabase, Tableau Desktop. Key tools and environments: Power BI Service, HubSpot, Metabase, Tableau Desktop.","1. Design, test, and implement features aligned with Business Intelligence & Analytics architecture standards.
2. Utilize tools such as Power BI Service, HubSpot, Metabase, Tableau Desktop for continuous integration, monitoring, and quality assurance.
3. Partner with senior engineers and product managers to translate product specifications into production-grade systems.
4. Troubleshoot and debug complex technical bottlenecks and ensure data security best practices.","- Bachelor's or Master's in Computer Science, Data Science, Software Engineering, or related technical field.
- Demonstrated hands-on competence with Exploratory Data Analysis, Data Visualization, Tableau, Statistics.
- Strong grasp of Problem Solving, Critical Thinking, Agile & Scrum in a collaborative sprint framework.
- Familiarity with DAX, Cohort Analysis, Metabase is a strong plus."
JOB-2003,Associate Cloud Security Engineer,QuantumScale Labs,Enterprise Software,"New York, NY",Cloud Architecture & DevOps,Entry-Level,"Linux, Networking Basics, Cloud Computing, Kubernetes, Terraform Cloud, GitLab CI, Technical Writing","GCP, Infrastructure as Code, ELK Stack, Datadog","Terraform Cloud, GitLab CI, ELK Stack, Datadog","$70,000 - $95,000","QuantumScale Labs is seeking a motivated Associate Cloud Security Engineer to join our Enterprise Software engineering team in New York, NY. In this role, you will collaborate on designing, developing, and deploying mission-critical solutions in Cloud Architecture & DevOps. Key responsibilities include writing robust, maintainable code, actively participating in code reviews, optimizing system performance, and working in an agile environment. Required technical proficiencies: Linux, Networking Basics, Cloud Computing, Kubernetes, Terraform Cloud, GitLab CI, Technical Writing. Preferred qualifications and bonus skills: GCP, Infrastructure as Code, ELK Stack, Datadog. Key tools and environments: Terraform Cloud, GitLab CI, ELK Stack, Datadog.","1. Design, test, and implement features aligned with Cloud Architecture & DevOps architecture standards.
2. Utilize tools such as Terraform Cloud, GitLab CI, ELK Stack, Datadog for continuous integration, monitoring, and quality assurance.
3. Partner with senior engineers and product managers to translate product specifications into production-grade systems.
4. Troubleshoot and debug complex technical bottlenecks and ensure data security best practices.","- Bachelor's or Master's in Computer Science, Data Science, Software Engineering, or related technical field.
- Demonstrated hands-on competence with Linux, Networking Basics, Cloud Computing, Kubernetes.
- Strong grasp of Problem Solving, Critical Thinking, Agile & Scrum in a collaborative sprint framework.
- Familiarity with GCP, Infrastructure as Code, ELK Stack is a strong plus."
JOB-2004,Junior React / Node.js Developer,DataSphere Analytics,Big Data & Analytics,"Chicago, IL",Full Stack Web Development,Junior,"SQL, HTML5, Git, JavaScript, Express.js, Postman, Presentation Skills, Adaptability","GraphQL, Tailwind CSS, Vercel, Docker","Postman, Vercel, Docker","$85,000 - $115,000","DataSphere Analytics is seeking a motivated Junior React / Node.js Developer to join our Big Data & Analytics engineering team in Chicago, IL. In this role, you will collaborate on designing, developing, and deploying mission-critical solutions in Full Stack Web Development. Key responsibilities include writing robust, maintainable code, actively participating in code reviews, optimizing system performance, and working in an agile environment. Required technical proficiencies: SQL, HTML5, Git, JavaScript, Express.js, Postman, Presentation Skills, Adaptability. Preferred qualifications and bonus skills: GraphQL, Tailwind CSS, Vercel, Docker. Key tools and environments: Postman, Vercel, Docker.","1. Design, test, and implement features aligned with Full Stack Web Development architecture standards.
2. Utilize tools such as Postman, Vercel, Docker for continuous integration, monitoring, and quality assurance.
3. Partner with senior engineers and product managers to translate product specifications into production-grade systems.
4. Troubleshoot and debug complex technical bottlenecks and ensure data security best practices.","- Bachelor's or Master's in Computer Science, Data Science, Software Engineering, or related technical field.
- Demonstrated hands-on competence with SQL, HTML5, Git, JavaScript.
- Strong grasp of Problem Solving, Critical Thinking, Agile & Scrum in a collaborative sprint framework.
- Familiarity with GraphQL, Tailwind CSS, Vercel is a strong plus."
JOB-2005,Junior Data Platform Engineer,RoboMotion Dynamics,Robotics & IoT,"Sunnyvale, CA",Data Engineering & Big Data,Junior,"Git, Linux, SQL, Redshift, Docker, PostgreSQL, Adaptability","Hadoop, PySpark, Apache Spark, Airflow, MinIO","Redshift, Docker, PostgreSQL, MinIO","$85,000 - $115,000","RoboMotion Dynamics is seeking a motivated Junior Data Platform Engineer to join our Robotics & IoT engineering team in Sunnyvale, CA. In this role, you will collaborate on designing, developing, and deploying mission-critical solutions in Data Engineering & Big Data. Key responsibilities include writing robust, maintainable code, actively participating in code reviews, optimizing system performance, and working in an agile environment. Required technical proficiencies: Git, Linux, SQL, Redshift, Docker, PostgreSQL, Adaptability. Preferred qualifications and bonus skills: Hadoop, PySpark, Apache Spark, Airflow, MinIO. Key tools and environments: Redshift, Docker, PostgreSQL, MinIO.","1. Design, test, and implement features aligned with Data Engineering & Big Data architecture standards.
2. Utilize tools such as Redshift, Docker, PostgreSQL, MinIO for continuous integration, monitoring, and quality assurance.
3. Partner with senior engineers and product managers to translate product specifications into production-grade systems.
4. Troubleshoot and debug complex technical bottlenecks and ensure data security best practices.","- Bachelor's or Master's in Computer Science, Data Science, Software Engineering, or related technical field.
- Demonstrated hands-on competence with Git, Linux, SQL, Redshift.
- Strong grasp of Problem Solving, Critical Thinking, Agile & Scrum in a collaborative sprint framework.
- Familiarity with Hadoop, PySpark, Apache Spark is a strong plus."
JOB-2006,Junior Robotics Software Intern,Apex Cloud Systems,Cloud Infrastructure,"Seattle, WA",Embedded Systems & IoT,Junior,"Linux, RTOS, UART/SPI/I2C Protocols, C, Electronics Fundamentals, PlatformIO, Oscilloscope, Communication, Code Documentation","BLE / Zigbee, ARM Architecture, FreeRTOS, PCB Basics, Raspberry Pi","PlatformIO, Oscilloscope, Raspberry Pi","$85,000 - $115,000","Apex Cloud Systems is seeking a motivated Junior Robotics Software Intern to join our Cloud Infrastructure engineering team in Seattle, WA. In this role, you will collaborate on designing, developing, and deploying mission-critical solutions in Embedded Systems & IoT. Key responsibilities include writing robust, maintainable code, actively participating in code reviews, optimizing system performance, and working in an agile environment. Required technical proficiencies: Linux, RTOS, UART/SPI/I2C Protocols, C, Electronics Fundamentals, PlatformIO, Oscilloscope, Communication, Code Documentation. Preferred qualifications and bonus skills: BLE / Zigbee, ARM Architecture, FreeRTOS, PCB Basics, Raspberry Pi. Key tools and environments: PlatformIO, Oscilloscope, Raspberry Pi.","1. Design, test, and implement features aligned with Embedded Systems & IoT architecture standards.
2. Utilize tools such as PlatformIO, Oscilloscope, Raspberry Pi for continuous integration, monitoring, and quality assurance.
3. Partner with senior engineers and product managers to translate product specifications into production-grade systems.
4. Troubleshoot and debug complex technical bottlenecks and ensure data security best practices.","- Bachelor's or Master's in Computer Science, Data Science, Software Engineering, or related technical field.
- Demonstrated hands-on competence with Linux, RTOS, UART/SPI/I2C Protocols, C.
- Strong grasp of Problem Solving, Critical Thinking, Agile & Scrum in a collaborative sprint framework.
- Familiarity with BLE / Zigbee, ARM Architecture, FreeRTOS is a strong plus."
JOB-2007,Junior Cloud Infrastructure Engineer,NeuralByte AI,Artificial Intelligence,"Boston, MA",Cloud Architecture & DevOps,Junior,"Git, Docker, Cloud Computing, Jenkins, Time Management, Problem Solving","Grafana, Prometheus, Infrastructure as Code, Terraform Cloud, ELK Stack","Jenkins, Terraform Cloud, ELK Stack","$85,000 - $115,000","NeuralByte AI is seeking a motivated Junior Cloud Infrastructure Engineer to join our Artificial Intelligence engineering team in Boston, MA. In this role, you will collaborate on designing, developing, and deploying mission-critical solutions in Cloud Architecture & DevOps. Key responsibilities include writing robust, maintainable code, actively participating in code reviews, optimizing system performance, and working in an agile environment. Required technical proficiencies: Git, Docker, Cloud Computing, Jenkins, Time Management, Problem Solving. Preferred qualifications and bonus skills: Grafana, Prometheus, Infrastructure as Code, Terraform Cloud, ELK Stack. Key tools and environments: Jenkins, Terraform Cloud, ELK Stack.","1. Design, test, and implement features aligned with Cloud Architecture & DevOps architecture standards.
2. Utilize tools such as Jenkins, Terraform Cloud, ELK Stack for continuous integration, monitoring, and quality assurance.
3. Partner with senior engineers and product managers to translate product specifications into production-grade systems.
4. Troubleshoot and debug complex technical bottlenecks and ensure data security best practices.","- Bachelor's or Master's in Computer Science, Data Science, Software Engineering, or related technical field.
- Demonstrated hands-on competence with Git, Docker, Cloud Computing, Jenkins.
- Strong grasp of Problem Solving, Critical Thinking, Agile & Scrum in a collaborative sprint framework.
- Familiarity with Grafana, Prometheus, Infrastructure as Code is a strong plus."
JOB-2008,Junior Cloud Infrastructure Engineer,NeuralByte AI,Artificial Intelligence,"Boston, MA",Cloud Architecture & DevOps,Junior,"Docker, Cloud Computing, CI/CD, Nginx, Datadog, Adaptability","Grafana, GCP, Azure, Prometheus, Terraform Cloud, GitLab CI","Nginx, Datadog, Terraform Cloud, GitLab CI","$85,000 - $115,000","NeuralByte AI is seeking a motivated Junior Cloud Infrastructure Engineer to join our Artificial Intelligence engineering team in Boston, MA. In this role, you will collaborate on designing, developing, and deploying mission-critical solutions in Cloud Architecture & DevOps. Key responsibilities include writing robust, maintainable code, actively participating in code reviews, optimizing system performance, and working in an agile environment. Required technical proficiencies: Docker, Cloud Computing, CI/CD, Nginx, Datadog, Adaptability. Preferred qualifications and bonus skills: Grafana, GCP, Azure, Prometheus, Terraform Cloud, GitLab CI. Key tools and environments: Nginx, Datadog, Terraform Cloud, GitLab CI.","1. Design, test, and implement features aligned with Cloud Architecture & DevOps architecture standards.
2. Utilize tools such as Nginx, Datadog, Terraform Cloud, GitLab CI for continuous integration, monitoring, and quality assurance.
3. Partner with senior engineers and product managers to translate product specifications into production-grade systems.
4. Troubleshoot and debug complex technical bottlenecks and ensure data security best practices.","- Bachelor's or Master's in Computer Science, Data Science, Software Engineering, or related technical field.
- Demonstrated hands-on competence with Docker, Cloud Computing, CI/CD, Nginx.
- Strong grasp of Problem Solving, Critical Thinking, Agile & Scrum in a collaborative sprint framework.
- Familiarity with Grafana, GCP, Azure is a strong plus."
JOB-2009,DevOps Engineer,DataSphere Analytics,Big Data & Analytics,"Austin, TX",Cloud Architecture & DevOps,Mid-Level,"Kubernetes, Git, CI/CD, Cloud Computing, Docker, Terraform Cloud, ELK Stack, Jenkins, Presentation Skills, Time Management","Service Mesh, Grafana, Infrastructure as Code, Ansible, Vault","Terraform Cloud, ELK Stack, Jenkins, Vault","$110,000 - $145,000","DataSphere Analytics is seeking a motivated DevOps Engineer to join our Big Data & Analytics engineering team in Austin, TX. In this role, you will collaborate on designing, developing, and deploying mission-critical solutions in Cloud Architecture & DevOps. Key responsibilities include writing robust, maintainable code, actively participating in code reviews, optimizing system performance, and working in an agile environment. Required technical proficiencies: Kubernetes, Git, CI/CD, Cloud Computing, Docker, Terraform Cloud, ELK Stack, Jenkins, Presentation Skills, Time Management. Preferred qualifications and bonus skills: Service Mesh, Grafana, Infrastructure as Code, Ansible, Vault. Key tools and environments: Terraform Cloud, ELK Stack, Jenkins, Vault.","1. Design, test, and implement features aligned with Cloud Architecture & DevOps architecture standards.
2. Utilize tools such as Terraform Cloud, ELK Stack, Jenkins, Vault for continuous integration, monitoring, and quality assurance.
3. Partner with senior engineers and product managers to translate product specifications into production-grade systems.
4. Troubleshoot and debug complex technical bottlenecks and ensure data security best practices.","- Bachelor's or Master's in Computer Science, Data Science, Software Engineering, or related technical field.
- Demonstrated hands-on competence with Kubernetes, Git, CI/CD, Cloud Computing.
- Strong grasp of Problem Solving, Critical Thinking, Agile & Scrum in a collaborative sprint framework.
- Familiarity with Service Mesh, Grafana, Infrastructure as Code is a strong plus."
JOB-2010,Junior Data Platform Engineer,RoboMotion Dynamics,Robotics & IoT,"Sunnyvale, CA",Data Engineering & Big Data,Junior,"Linux, Python, Data Pipelines, Redshift, Technical Writing, Code Documentation","Snowflake, Airflow, Apache Spark, Databricks, PostgreSQL","Redshift, Databricks, PostgreSQL","$85,000 - $115,000","RoboMotion Dynamics is seeking a motivated Junior Data Platform Engineer to join our Robotics & IoT engineering team in Sunnyvale, CA. In this role, you will collaborate on designing, developing, and deploying mission-critical solutions in Data Engineering & Big Data. Key responsibilities include writing robust, maintainable code, actively participating in code reviews, optimizing system performance, and working in an agile environment. Required technical proficiencies: Linux, Python, Data Pipelines, Redshift, Technical Writing, Code Documentation. Preferred qualifications and bonus skills: Snowflake, Airflow, Apache Spark, Databricks, PostgreSQL. Key tools and environments: Redshift, Databricks, PostgreSQL.","1. Design, test, and implement features aligned with Data Engineering & Big Data architecture standards.
2. Utilize tools such as Redshift, Databricks, PostgreSQL for continuous integration, monitoring, and quality assurance.
3. Partner with senior engineers and product managers to translate product specifications into production-grade systems.
4. Troubleshoot and debug complex technical bottlenecks and ensure data security best practices.","- Bachelor's or Master's in Computer Science, Data Science, Software Engineering, or related technical field.
- Demonstrated hands-on competence with Linux, Python, Data Pipelines, Redshift.
- Strong grasp of Problem Solving, Critical Thinking, Agile & Scrum in a collaborative sprint framework.
- Familiarity with Snowflake, Airflow, Apache Spark is a strong plus."
